Key,zh-CN,en-US,ja-JP,pt-BR,id-ID,,,,
1001,轻敲一个瓶子，将液体倒入另一个瓶子。,Tap a bottle to pour into another bottle,,Bata levemente em uma garrafa para despejar o conteúdo em outra garrafa.,Ketuk botol untuk menuangkan isinya ke botol lain.,,,,
1002,将瓶子装满相同颜色的液体，以完成订单,Fill bottles with the same color to complete orders,,Encha as garrafas com a mesma cor para completar os pedidos.,Isi botol dengan warna yang sama untuk menyelesaikan pesanan.,,,,
1003,只能倒入颜色匹配的瓶盖或空瓶中。,Only pour into a matching top-color or empty bottle,,Despeje apenas em uma garrafa da mesma cor ou em uma garrafa vazia.,Tuangkan hanya ke dalam botol dengan tutup berwarna senada atau botol kosong.,,,,
1004,级别 {0},Level {0},,Nível {0},Level {0},,,,
1005,玩家,Player,,Jogador,Pemain,,,,
1006,现金,Cash,,Dinheiro,Uang tunai,,,,
1007,宝石,Gem,,Jóia,Permata,,,,
1008,添加瓶,AddBottle,,Adicionar garrafa,Tambahkan Botol,,,,
1009,清除,Clear,,Claro,Jernih,,,,
1010,撤销,Undo,,Desfazer,Membuka,,,,
1011,提取,Withdraw,,Retirar,Menarik,,,,
1012,添加一个空瓶,Add an Enpty Bottle,,Adicione uma garrafa vazia,Tambahkan Botol Kosong,,,,
1013,瓶装+,Bottle+,,Garrafa+,Botol+,,,,
1014,清除所有同色果汁,Clear all juice of the same color,,Elimine todo o líquido da mesma cor.,Singkirkan semua jus yang memiliki warna yang sama.,,,,
1015,清除,clear,,claro,jernih,,,,
1016,返回上一步,Go back to the previous step,,Volte ao passo anterior.,Kembali ke langkah sebelumnya,,,,
1017,撤销,undo,,desfazer,membuka,,,,
1018,得到,Get,,Pegar,Mendapatkan,,,,
1019,挑战成功,Challange Success,,Desafio Sucesso,Tantangan Sukses,,,,
1020,全部领取,Claim All,,Reivindicar tudo,Klaim Semua,,,,
1021,仅有的,Only ,,Apenas,Hanya,,,,
1022,全新游戏玩法,New GamePlay,,Nova jogabilidade,Gameplay Baru,,,,
1023,将任意一种颜色的液体倒入一个瓶子中，即可制成一瓶奶茶。,Fill 1 bottle with any single color to turn the milk tea into a bottle,,Encha uma garrafa com qualquer cor para transformar o chá com leite em uma garrafa.,Isi 1 botol dengan satu warna saja untuk mengubah teh susu menjadi minuman dalam botol.,,,,
1024,将所需数量的瓶子装满任意一种颜色的奶茶，即可制成一瓶奶茶。,Fill the required number of bottles with any single color to turn the milk tea into a bottle.,,Encha o número necessário de garrafas com uma única cor para transformar o chá com leite em uma garrafa.,Isi botol-botol yang dibutuhkan dengan satu warna saja untuk mengubah teh susu menjadi minuman dalam botol.,,,,
1025,将所需数量的瓶子装满相应颜色的奶茶，即可制成一瓶奶茶。,Fill the required number of bottles with the matching colors to turn the milk tea into a bottle.,,Encha o número necessário de garrafas com as cores correspondentes para transformar o chá com leite em uma garrafa.,Isi botol-botol dengan warna yang sesuai sesuai jumlah botol yang dibutuhkan untuk mengubah teh susu menjadi minuman dalam botol.,,,,
1026,倒掉最上面一层，就能看到里面的未知颜色。,Pour out the top layer to reveal the unknown color.,,Despeje a camada superior para revelar a cor desconhecida.,Tuangkan lapisan atas untuk mengungkap warna yang tidak diketahui.,,,,
1027,继续,Continue,,Continuar,Melanjutkan,,,,
1028,幸运奖励,Lucky Rward,,Recompensa da Sorte,Hadiah Keberuntungan,,,,
